"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"A1","1","Arduino_Nano_v3.x","","","","Module:Arduino_Nano","http://www.mouser.com/pdfdocs/Gravitech_Arduino_Nano3_0.pdf"
"C1","1","100nF","","","","Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm","~"
"C2","1","330 nF","","","","Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm","~"
"C3","1","10uF","","","","Capacitor_THT:CP_Radial_D13.0mm_P5.00mm","~"
"D1,D2,D14","3","1N4007","","","","Diode_THT:D_DO-15_P15.24mm_Horizontal","~"
"D3,D4,D5,D7,D10,D13","6","LED","","","","LED_THT:LED_D5.0mm","~"
"D6,D8,D12","3","1N4148WT","","","","Diode_THT:D_DO-35_SOD27_P10.16mm_Horizontal","https://www.diodes.com/assets/Datasheets/ds30396.pdf"
"D9,D11,D15","3","BZV55B5V1","","","","Diode_THT:D_DO-35_SOD27_P10.16mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/BZV55_SER.pdf"
"J1","1","Screw_Terminal_01x16","","","","TerminalBlock_CUI:TerminalBlock_CUI_TB007-508-16_1x16_P5.08mm_Horizontal","~"
"K1,K2","2","SRD-05VDC-SL-C","","","","relay:RELAY_SRD-05VDC-SL-C",""
"Q1,Q2","2","BC547","","","","Package_TO_SOT_THT:TO-92L_Inline_Wide","https://www.onsemi.com/pub/Collateral/BC550-D.pdf"
"R0,R3,R7,R8,R9","5","0","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R1,R2","2","1k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R4,R5,R6","3","330","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R10","1","39k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R11,R15,R17,R21","4","10k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R14,R16,R19","3","1500","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"U1","1","L7805","","","","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf"
"U2,U3,U4","3","PC817","","","","Package_DIP:DIP-4_W7.62mm","http://www.soselectronic.cz/a_info/resource/d/pc817.pdf"
